,Title,Price,StarRating
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five
81,Princess Between Worlds (Wide-Awake Princess #5),13.34,Five
82,"Pop Gun War, Volume 1: Gift",18.97,One
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two
84,Patience,10.16,Three
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One
87,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One
88,On a Midnight Clear,14.07,Three
89,Obsidian (Lux #1),14.86,Two
90,My Paris Kitchen: Recipes and Stories,33.37,Two
91,Masks and Shadows,56.4,Two
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two
96,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two
98,Join,35.67,Five
99,In the Country We Love: My Family Divided,22.0,Four
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two
102,I am a Hero Omnibus Volume 1,54.63,Three
103,How to Be Miserable: 40 Strategies You Already Use,46.03,One
104,Her Backup Boyfriend (The Sorensen Family #1),33.97,One
105,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three
107,First and First (Five Boroughs #3),15.97,Four
108,Fifty Shades Darker (Fifty Shades #2),21.96,One
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two
111,Danganronpa Volume 1,51.99,Four
112,Crown of Midnight (Throne of Glass #2),43.29,Three
113,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four
114,Camp Midnight,17.08,Four
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five
116,Burning,28.81,Three
117,Bossypants,49.46,Two
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two
120,Algorithms to Live By: The Computer Science of Human Decisions,30.81,One
121,A World of Flavor: Your Gluten Free Passport,42.95,One
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five
123,A Murder in Time,16.64,One
124,A Flight of Arrows (The Pathfinders #2),55.53,Five
125,A Fierce and Subtle Poison,28.13,Four
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One
127,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Five
128,You Are What You Love: The Spiritual Power of Habit,21.87,Four
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,Four
130,Tuesday Nights in 1980,21.04,Two
131,Tracing Numbers on a Train,41.6,Three
132,Throne of Glass (Throne of Glass #1),35.07,Three
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One
134,Thirteen Reasons Why,52.72,One
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Four
136,The Wedding Dress,24.12,One
137,The Vacationers,42.15,Four
138,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Five
139,The Stranger,17.44,Four
140,The Shadow Hero (The Shadow Hero),33.14,One
141,The Secret (The Secret #1),27.37,Four
142,The Regional Office Is Under Attack!,51.36,Five
143,The Psychopath Test: A Journey Through the Madness Industry,36.0,Two
144,The Project,10.65,One
145,The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two
146,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five
148,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four
149,The Mistake (Off-Campus #2),43.29,Three
150,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,Two
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One
153,The Kite Runner,41.82,Four
154,The House by the Lake,36.95,One
155,The Glittering Court (The Glittering Court #1),44.28,One
156,The Girl on the Train,55.02,Two
157,The Genius of Birds,17.24,One
158,The Emerald Mystery,23.15,Two
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,Three
161,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five
162,The Art of War,33.34,Five
163,The Argonauts,10.93,Two
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three
165,Suddenly in Love (Lake Haven #1),55.99,Two
166,Something More Than This,16.24,Four
167,Soft Apocalypse,26.12,Two
168,So You've Been Publicly Shamed,12.23,Two
169,Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two
170,"Shobu Samurai, Project Aryoku (#3)",29.06,Three
171,Secrets and Lace (Fatal Hearts #1),20.27,One
172,Scarlett Epstein Hates It Here,43.55,Five
173,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One
174,Redeeming Love,20.47,Five
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One
176,Poems That Make Grown Women Cry,14.19,Four
177,"Nightingale, Sing",38.28,One
178,Night Sky with Exit Wounds,41.05,One
179,Mrs. Houdini,30.25,Five
